Operator_ID,Aircaft_Operator
1,United Airlines
2,Indian Airlines
3,Piedmont Airlines
4,Western Air Lines
5,Lufthansa
6,MAS
7,Pacific Western
8,TAAG
9,Air California
10,FEAT
11,Air Malta
12,Air Florida
13,Southwest Air Lines
14,TAME Ecuador
15,Air Canada
16,Gulf Air
17,Air France
18,Saudi Arabian
19,Thai Airways
20,British Airtours
21,MarkAir
22,Hermens Air
23,EgyptAir
24,Aer Lingus
25,China Airlines
26,Iraqi Airways
27,LAN Chile
28,TWA
29,USAir
30,Condor Flugdienst
31,Delta Air Lines
32,Aloha Airlines
33,Ethiopian Airlines
34,BMA
35,Peruvian Police
36,Air Inter
37,America West
38,Philippine Air Lines
39,Xiamen Airlines
40,Air New Zealand
41,Lauda Air
42,Air China
43,Southwest Airlines
44,Air Lanka
45,Aerolineas Argentinas
46,China Southern
47,TACA
48,SAHSA
49,Asiana Airlines
50,Andaman and Nicobar Adm.
51,COPA Panama
52,Garuda
53,THY
54,Sempati Air
55,Northwest Airlines
56,Aviateca
57,Carnival Air Lines
58,Nigeria Airways
59,Cameroon Airlines
60,Soundsair
61,Canadian Airlines
62,Alitalia
63,PenAir
64,Air Afrique
65,Silkair
66,"Peruvian AF, op.for Occidental Petroleum"
67,Baker Aviation
68,Air UK Leisure
69,Sudan Airways
70,Alaska Airlines
71,Continental Air Lines
72,AirTran Airways
73,Airtours Int.
74,Air Philippines
75,Pro Air
76,Royal Jordanian
77,Alliance Air
78,Futura
79,Iberia
80,Thai Airways International
81,First Air
82,British Airways
83,American Airlines
84,MEA
85,Rio Sul
86,Lion Air
87,All Nippon
88,Star Air
89,TransAsia Airways
90,"Skyservice Airlines, op.for MyTravel"
91,Air Gabon
92,easyJet
93,Flash Airlines
94,AeroSvit Airlines
95,Air Guinee Express
96,KLM
97,"Phoenix Aviation, op.for Kam Air"
98,"Jordan Aviation, op.for LTE International Airways"
99,Skyservice Airlines
100,Air Serv International
101,Mandala Airlines
102,Spirit Airlines
103,Sahara Airlines
104,Bellview Airlines
105,Qantas
106,MAF
107,Armavia
108,Air One
109,Onur Air
110,ADC Airlines
111,AdamAir
112,Kenya Airways
113,Ryanair
114,Air Europa
115,Nationwide Airlines
116,Tarom
117,Merpati Nusantara
118,US Airways
119,Chanchangi Airlines
120,Thomas Cook Airlines
121,"Itek Air, opf Iran Aseman Airlines"
122,Sriwijaya Air
123,Aeroflot-Nord
124,KD Avia
125,RAM
126,North American Flight Services
127,Air Tanzania
128,Air India Express
129,SunExpress
130,Airblue
131,Windjet
132,AirAsia
133,Safair
134,Caribbean Airlines
135,Sky Airlines
136,Airphil Express
137,SAS
138,JAL
139,Bhoja Airlines
140,Shaheen Air
141,Sky Airline
142,Tunis Air
143,PIA
144,Buraq Air
145,Air VIA
146,Cebu Pacific Air
147,Wizz Air
148,Virgin Australia Airlines
149,Tatarstan
150,"Orient Thai Airlines, op.for Saudi Arabian"
151,Air India
152,East Air
153,Jet2
154,Travel Service Airlines
155,Canadian North
156,Malaysia Airlines
157,Ariana Afghan Airlines
158,Omni Air International
159,SpiceJet
160,Indonesia AirAsia
161,Jet Airways
162,Qatar Airways
163,"British Airways, opb Comair"
164,Metrojet
165,Avia Traffic Company
166,Air Namibia
167,Hamilton Island Air
168,"Hermes Airlines, op.for Daallo Airlines"
169,flydubai
170,Batik Air
171,Korean Air
172,Singapore Airlines
173,Emirates
174,"Jordan Aviation, op.for Safi Airways"
175,Taban Air
176,Alaska Seaplanes
177,Tailwind Air Service
178,WestJet
179,Eva Air
180,Pegasus Airlines
181,Germania
182,El Al
183,"Endeavor Air, opf Delta Connection"
184,TUI fly Belgium
185,Hawaiian Airlines
186,Air Canada Rouge
187,Beijing Capital Airlines
188,Utair
189,US-Bangla Airlines
190,Air Niugini
191,Yakutia Airlines
192,Novair
193,Biman Bangladesh
194,LaudaMotion
195,Aeroflot
196,Air Peace
197,Seair Seaplanes
198,Frontier Airlines
199,Ural Airlines
200,Ukraine International Airlines
201,Swift Air
202,Skymark Airlines
203,Air Djibouti
204,Viva Aerobus
205,Caspian Airlines
