Incident Aircraft ID,Aircraft_Code,Operator_ID,Departure_Country_ID,Destination_Country_ID,Flight Type ID,Occupants
1,733,1,1,1,1,61.0
2,733,1,1,1,1,61.0
3,733,2,2,2,1,65.0
4,733,3,1,1,1,96.0
5,733,2,2,2,1,81.0
6,733,4,1,1,1,99.0
7,733,5,3,12,2,95.0
8,733,6,4,4,1,100.0
9,733,7,5,5,1,49.0
10,733,2,2,2,1,67.0
11,733,2,2,2,1,131.0
12,733,8,6,6,1,134.0
13,733,9,1,1,1,110.0
14,733,10,7,7,1,110.0
15,733,11,8,40,2,0.0
16,733,12,1,1,1,79.0
17,733,13,9,9,1,138.0
18,733,14,10,10,1,119.0
19,763,15,5,5,1,69.0
20,733,16,11,37,2,112.0
21,733,8,6,6,1,130.0
22,733,8,6,6,1,142.0
23,733,7,5,5,1,119.0
24,733,2,2,2,1,129.0
25,733,17,12,23,2,64.0
26,733,18,13,13,1,97.0
27,733,19,14,14,1,11.0
28,733,18,15,13,2,104.0
29,733,20,16,17,2,137.0
30,733,21,1,1,1,21.0
31,CN1,22,1,1,1,4.0
32,733,23,17,40,2,98.0
33,733,24,18,16,2,123.0
34,733,2,2,2,1,128.0
35,733,25,7,7,1,13.0
36,733,7,5,5,1,81.0
37,733,2,2,2,1,95.0
38,733,3,1,1,1,119.0
39,733,26,19,43,2,106.0
40,733,27,20,20,1,33.0
41,763,28,1,1,1,181.0
42,733,19,14,14,1,83.0
43,733,2,2,2,1,61.0
44,733,29,1,1,1,67.0
45,733,30,12,32,2,16.0
46,733,31,5,1,2,38.0
47,733,32,1,1,1,95.0
48,733,2,2,2,1,134.0
49,733,2,2,2,1,98.0
50,733,33,21,74,2,104.0
51,733,2,2,2,1,135.0
52,733,34,16,16,1,126.0
53,733,3,1,1,1,33.0
54,CN1,35,22,22,1,9.0
55,733,29,1,1,1,63.0
56,733,25,7,7,1,54.0
57,320,36,23,23,1,142.0
58,733,37,1,1,1,130.0
59,320,2,2,2,1,146.0
60,733,38,24,24,1,120.0
61,733,29,1,1,1,27.0
62,733,39,25,25,1,102.0
63,733,29,1,1,1,89.0
64,733,1,1,1,1,25.0
65,763,40,1,75,2,163.0
66,763,41,14,76,2,223.0
67,733,2,2,2,1,69.0
68,763,42,25,77,2,180.0
69,733,43,1,1,1,107.0
70,733,44,26,2,2,116.0
71,320,36,23,23,1,96.0
72,733,45,27,27,1,113.0
73,733,46,25,25,1,141.0
74,763,47,28,33,2,236.0
75,733,2,2,2,1,118.0
76,733,48,29,78,2,94.0
77,733,49,30,30,1,116.0
78,763,40,1,1,1,204.0
