Location_ID,Incident_Location
1,Philadelphia...
2,near Chicago-Midw...
3,near Delhi-Indira...
4,Greensboro/H...
5,Bangalore-Hi...
6,Casper Airpo...
7,Mogadishu In...
8,near Tanjong Kupang
9,Cranbrook Ai...
10,Madras Airpo...
11,Nagpur Airpo...
12,Benguela Air...
13,Santa Ana-Jo...
14,near Sanyi Townsh...
15,Cairo Intern...
16,near Washington-N...
17,Ishigaki Air...
18,near Cuenca
19,Gimli Airpor...
20,Mino Jebel Ali
21,near Lubango Airp...
22,Huambo Airpo...
23,Calgary Inte...
24,Calcutta Air...
25,Tehran-Mehra...
26,Dhahran Inte...
27,near Phuket Inter...
28,Doha Interna...
29,Manchester I...
30,Unalaska Air...
31,Bethel Airpo...
32,Malta-Luqa A...
33,Dublin Airpo...
34,Tiruchirappa...
35,near Magong Airpo...
36,Kelowna Airp...
37,Rajkot-Civil...
38,Charlotte-Do...
39,near Arar
40,Calama-El Lo...
41,Belleville-S...
42,"Deptford, NJ"
43,near Seferihisar
44,Vancouver In...
45,"near Maui, HI"
46,Delhi-Indira...
47,Vadodara Air...
48,near Bahar Dar Ai...
49,near Ahmedabad Ai...
50,near Kegworth
51,Chicago-O'Ha...
52,near Huaral
53,New York-La ...
54,near Hualien Airp...
55,Lille-Lesqui...
56,Tucson Inter...
57,near Bangalore-Hi...
58,Manila-Ninoy...
59,Kinston-Stal...
60,Guangzhou-Ba...
61,Los Angeles ...
62,near Colorado Spr...
63,Nadi Interna...
64,near Phu Toey
65,near Imphal Munic...
66,Stockholm-Ar...
67,Lubbock Inte...
68,near Strasbourg-E...
69,San Luis Air...
70,near Guilin Airpo...
71,Guatemala Ci...
72,near Aurangabad A...
73,Managua-Augu...
74,near Mokpo Airpor...
75,near Port Blair
76,Warszawa-Oke...
77,Panama City-...
78,Medan-Poloni...
79,"near Aliquippa, PA"
80,near Van Airport ...
81,Yogyakarta-A...
82,Denver Inter...
83,Minneapolis-...
84,near San Salvador
85,Miami Intern...
86,Kaduna Airpo...
87,near Douala Airpo...
88,near Blenheim
89,Halifax Inte...
90,"near Mitsamiouli,..."
91,Abu Dhabi In...
92,Banjarmasin-...
93,Shenzhen Air...
94,Newark Inter...
95,Naknek Airpo...
96,Douala Airpo...
97,Nejran Airpo...
98,Beijing-Capi...
99,near Palembang
100,Bacolod Airp...
101,near Andoas
102,near Nome Airport...
103,Ibiza Airpor...
104,Khartoum-Civ...
105,Juneau Inter...
106,Guadalajara-...
107,Atlanta-Will...
108,Biarritz Par...
109,Zhanjiang Ai...
110,West Palm Be...
111,Phoenix-Sky ...
112,Yangon-Minga...
113,near Nantucket Is...
114,London-Gatwi...
115,Harare Airpo...
116,Burbank/Glen...
117,near Davao City-F...
118,"near Goderich, ON"
119,Las Vegas-Mc...
120,Orlando Inte...
121,Amman-Queen ...
122,near Patna Airpor...
123,near Bahrain Inte...
124,Shannon Airp...
125,Bilbao Airpo...
126,Bangkok Inte...
127,Detroit-Metr...
128,Yellowknife ...
129,Baltimore/Wa...
130,"New York, NY"
131,Dillingham M...
132,Belo Horizon...
133,Pekanbaru-Su...
134,near Yokyakarta
135,Hakodate Air...
136,near Pusan-Kimhae...
137,near Tunis-Cartha...
138,Toronto-Pear...
139,"near Brisbane, QLD"
140,near Windhoek
141,Jakarta-Soek...
142,Tainan Airpo...
143,Amarillo Int...
144,Bristol Airp...
145,near Port Sudan
146,Libreville A...
147,Amsterdam-Sc...
148,near Sharm el Sheikh
149,Edmonton Int...
150,London-Heath...
151,Moskva-Shere...
152,Freetown-Lun...
153,Taipei-Songs...
154,Barcelona Ai...
155,near Kabul Airpor...
156,Leeds/Bradfo...
157,Punta Cana A...
158,Matemo Airport
159,Fort Lauderd...
160,Mumbai-Chhat...
161,Lisa Village...
162,Chicago-Midw...
163,Melbourne-Tu...
164,Haydom
165,near Adler/Sochi ...
166,near Anyang VOR
167,Catania-Font...
168,Rotterdam Ai...
169,Tarakan-Juwa...
170,Abuja Intern...
171,Ujung Pandan...
172,San Diego In...
173,near Pambauang
174,Surabaya-Jua...
175,Venice-Trevi...
176,M'Banza Cong...
177,Okinawa-Naha...
178,Butuan Airpo...
179,Katowice-Pyr...
