Incident ID,Location_ID,Damage Type ID,Phase ID,Incident Type ID,Incident Damage ID,Incident Aircraft ID,Date_ID,Fatalities
1,1,1,1,1,1,1,1,0
2,2,1,2,1,1,2,2,45
3,3,2,2,1,1,3,3,48
4,4,3,3,1,2,4,4,0
5,5,3,3,1,2,5,5,0
6,6,1,3,1,1,6,6,0
7,7,4,4,2,2,7,7,4
8,8,2,4,2,1,8,8,100
9,9,2,3,1,1,9,9,42
10,10,1,3,3,1,10,10,0
11,11,3,3,1,2,11,11,0
12,12,1,3,1,1,12,12,0
13,13,1,3,1,1,13,13,0
14,14,2,4,1,1,14,14,110
15,15,3,5,3,2,15,15,0
16,16,2,6,1,1,16,16,78
17,17,1,3,1,1,17,17,0
18,18,2,2,1,1,18,18,119
19,19,3,4,1,2,19,19,0
20,20,2,2,3,1,20,20,112
21,21,2,6,3,1,21,21,130
22,22,1,3,3,1,22,22,0
23,23,1,1,1,1,23,23,0
24,24,3,3,1,2,24,24,0
25,25,3,4,2,2,25,25,0
26,26,4,4,2,2,26,26,1
27,27,2,2,1,1,27,27,11
28,28,3,1,1,2,28,28,0
29,29,2,1,1,1,29,29,55
30,30,3,3,1,2,30,30,0
31,31,2,6,1,1,31,31,2
32,32,1,5,2,1,32,32,60
33,33,3,6,1,2,33,33,0
34,34,3,2,1,2,34,34,0
35,35,1,2,1,1,35,35,13
36,36,3,3,1,2,36,36,0
37,37,3,3,1,2,37,37,0
38,38,2,3,1,1,38,38,0
39,39,1,4,2,1,39,39,63
40,40,1,3,1,1,40,40,1
41,41,3,3,1,2,41,41,0
42,27,2,2,1,1,42,42,83
43,5,3,3,1,2,43,43,0
44,42,3,4,1,2,44,44,0
45,43,1,2,1,1,45,45,16
46,44,3,1,1,2,46,46,0
47,45,3,4,1,1,47,47,1
48,46,3,3,1,1,48,48,0
49,47,3,3,1,2,49,49,0
50,48,2,2,1,1,50,50,35
51,49,2,2,1,1,51,51,133
52,50,2,2,1,1,52,52,47
53,51,3,1,1,2,53,53,0
54,52,1,4,1,1,54,54,9
55,53,2,1,1,1,55,55,2
56,54,1,4,1,1,56,56,54
57,55,4,3,1,2,57,57,0
58,56,3,3,1,1,58,58,0
59,57,2,2,1,1,59,59,92
60,58,1,7,1,1,60,60,8
61,59,3,1,1,1,61,61,0
62,60,2,3,2,1,62,62,82
63,61,2,3,1,1,63,63,22
64,62,2,2,1,1,64,64,25
65,63,3,3,1,2,65,65,0
66,64,2,4,1,1,66,66,223
67,65,2,2,1,1,67,67,69
68,66,3,3,1,2,68,68,0
69,67,3,2,1,2,69,69,0
70,10,3,3,1,2,70,70,0
71,68,2,2,1,1,71,71,87
72,69,1,1,1,1,72,72,0
73,70,2,2,1,1,73,73,141
74,71,1,3,1,1,74,74,0
75,72,1,1,1,1,75,75,55
76,73,1,3,1,1,76,76,0
77,74,2,2,1,1,77,77,68
78,61,3,5,1,2,78,78,0
79,75,1,3,1,1,79,78,1
80,76,1,3,1,1,80,79,2
