Operator_ID,Aircaft_Operator
1,Caspian Airlines
2,Sriwijaya Air
3,Viva Aerobus
4,Hawaiian Airlines
5,Ukraine International Airlines
6,American Airlines
7,Utair
8,MAF
9,Swift Air
10,PIA
11,Air India Express
12,Omni Air International
13,Skymark Airlines
14,Air Djibouti
15,Aeroflot
16,"Tarco Air, opf Sudan Airways"
17,Novair
18,Biman Bangladesh
19,LaudaMotion
20,Ethiopian Airlines
21,Wizz Air
22,United Airlines
23,Southwest Airlines
24,SpiceJet
25,Air Peace
26,Seair Seaplanes
27,Frontier Airlines
28,Ural Airlines
29,Korean Air
30,Pegasus Airlines
31,easyJet
32,Germania
33,El Al
34,Lion Air
35,"Endeavor Air, opf Delta Connection"
36,TUI fly Belgium
37,Xiamen Airlines
38,Air Canada Rouge
39,Beijing Capital Airlines
40,US-Bangla Airlines
41,Air Niugini
42,Yakutia Airlines
43,Air Canada
44,Taban Air
45,Malaysia Airlines
46,Alaska Seaplanes
47,Tailwind Air Service
48,Delta Air Lines
49,Qantas
50,WestJet
51,Eva Air
52,Air Namibia
53,Hamilton Island Air
54,"Hermes Airlines, op.for Daallo Airlines"
55,Jet Airways
56,flydubai
57,EgyptAir
58,Batik Air
59,Air France
60,Singapore Airlines
61,Emirates
62,Caribbean Airlines
63,"Jordan Aviation, op.for Safi Airways"
64,Afriqiyah Airways
65,Ryanair
66,Asiana Airlines
67,Nauru Airlines
68,British Airways
69,Qatar Airways
70,"British Airways, opb Comair"
71,Metrojet
72,Shaheen Air
73,Avia Traffic Company
74,"Orient Thai Airlines, op.for Saudi Arabian"
75,Air India
76,East Air
77,Jet2
78,Travel Service Airlines
79,Canadian North
80,US Airways
81,Ariana Afghan Airlines
82,Air VIA
83,SAS
84,Indonesia AirAsia
85,Tunis Air
86,Buraq Air
87,Cebu Pacific Air
88,Virgin Australia Airlines
89,Onur Air
90,Alitalia
91,Tatarstan
92,All Nippon
93,Airphil Express
94,JAL
95,Bhoja Airlines
96,Sky Airline
97,AirAsia
98,Safair
99,First Air
100,Gulf Air
101,Sky Airlines
102,Air Tanzania
103,Merpati Nusantara
104,RAM
105,Lufthansa
106,SunExpress
107,Airblue
108,Windjet
109,IndiGo Airlines
110,CanJet Airlines
111,Northwest Airlines
112,North American Flight Services
113,AdamAir
114,TACA
115,Chanchangi Airlines
116,Thomas Cook Airlines
117,Garuda
118,"Itek Air, opf Iran Aseman Airlines"
119,Sun Air Company
120,Aeroflot-Nord
121,KD Avia
122,Continental Air Lines
123,Air West
124,Air Mauritanie
125,Kenya Airways
126,TAAG
127,China Airlines
128,Philippine Air Lines
129,Air Europa
130,Mandala Airlines
131,Nationwide Airlines
132,Tarom
133,Armavia
134,Air One
135,ADC Airlines
136,"Phoenix Aviation, op.for Kam Air"
137,"Jordan Aviation, op.for LTE International Airways"
138,Skyservice Airlines
139,Air Serv International
140,Spirit Airlines
141,Sahara Airlines
142,Bellview Airlines
143,Flash Airlines
144,Aer Lingus
145,AeroSvit Airlines
146,Air China
147,Air Guinee Express
148,TransAsia Airways
149,KLM
150,Star Air
151,"Skyservice Airlines, op.for MyTravel"
152,Sudan Airways
153,Air Gabon
154,America West
155,Air Seychelles
156,Air New Zealand
157,Iberia
158,Thai Airways International
159,PenAir
160,MEA
161,Rio Sul
162,Airtours Int.
163,Air Philippines
164,Pro Air
165,Royal Jordanian
166,Alliance Air
167,Saudi Arabian
168,Futura
169,China Southern
170,Indian Airlines
171,"Peruvian AF, op.for Occidental Petroleum"
172,Baker Aviation
173,Air UK Leisure
174,Alaska Airlines
175,THY
176,AirTran Airways
177,Sempati Air
178,Air Afrique
179,Canadian Airlines
180,Silkair
181,Soundsair
182,Hainan Airlines
183,MarkAir
184,Aviateca
185,Carnival Air Lines
186,Nigeria Airways
187,Cameroon Airlines
188,USAir
189,Alyemda
190,SAHSA
191,Andaman and Nicobar Adm.
192,COPA Panama
193,Air Lanka
194,Air Inter
195,Aerolineas Argentinas
196,Lauda Air
197,BMA
198,Piedmont Airlines
199,Peruvian Police
200,Condor Flugdienst
201,Aloha Airlines
202,LAN Chile
203,TWA
204,Thai Airways
205,Pacific Western
206,Iraqi Airways
207,British Airtours
208,Hermens Air
209,TAME Ecuador
210,People Express
211,Air Florida
212,Southwest Air Lines
213,Air California
214,FEAT
215,Air Malta
216,MAS
217,Western Air Lines
218,Wien Consolidated
