Incident_Date,Aircaft_Model,Aircaft_Operator,Incident_Location,Aircaft_Damage_Type,Fatalities,Aircraft_Phase,Departure_Country,Destination_Country,Flight_Type,Occupants,Incident_Type,Incident_Damage
05-JAN-2022,Boeing 737,Caspian Airlines,Isfahan-Shah...,Substantial,0,Landing (LDG),Iran,Iran,Domestic,116.0,Accident , repairable-damage
09-JAN-2021,Boeing 737,Sriwijaya Air,near Jakarta-Soek...,Destroyed,62,En route (ENR),Indonesia,Indonesia,Domestic,62.0,Accident , hull-loss
18-MAR-2021,Airbus A320,Viva Aerobus,Puerto Valla...,Substantial,0,Taxi (TXI),Mexico,Mexico,Domestic,127.0,Accident , repairable-damage
11-JUL-2021,Airbus A320,Condor Flugdienst,Kavala-Megas...,Substantial,0,Takeoff (TOF),Greece,Germany,International,80.0,Accident , repairable-damage
23-SEP-2021,Airbus A321,Hawaiian Airlines,Honolulu-Dan...,Substantial,0,Landing (LDG),United States of America,United States of America,Domestic,134.0,Accident , repairable-damage
08-JAN-2020,Boeing 737,Ukraine International Airlines,near Sabashahr,Destroyed,176,En route (ENR),Iran,Ukraine,International,176.0,"Criminal occurrence (sabotage, shoot down) ", hull-loss
08-JAN-2020,Boeing 737,American Airlines,New York-La ...,Substantial,0,Standing (STD),United States of America,United States of America,Domestic,121.0,Accident , repairable-damage
03-FEB-2020,Boeing 767,Air Canada,Madrid-Baraj...,Minor,0,Takeoff (TOF),Spain,Canada,International,138.0,Incident , repairable-damage
05-FEB-2020,Boeing 737,Pegasus Airlines,Istanbul-Sab...,Destroyed,3,Landing (LDG),Turkey,Turkey,Domestic,183.0,Accident , hull-loss
09-FEB-2020,Boeing 737,Utair,Usinsk Airpo...,Substantial,0,Landing (LDG),Russia,Russia,Domestic,100.0,Accident , repairable-damage
14-FEB-2020,Cessna 208 Caravan,MAF,Miyanmin Air...,Substantial,0,Landing (LDG),Papua New Guinea,Papua New Guinea,Domestic,11.0,Accident , repairable-damage
19-MAY-2020,Boeing 737,Swift Air,near Victorville-...,Substantial,0,Initial climb (ICL),United States of America,United States of America,Domestic,95.0,Accident , repairable-damage
22-MAY-2020,Airbus A320,PIA,near Karachi-Jinn...,Destroyed,98,Approach (APR),Pakistan,Pakistan,Domestic,99.0,Accident , hull-loss
07-AUG-2020,Boeing 737,Air India Express,Kozhikode-Ca...,Destroyed,21,Landing (LDG),United Arab Emirates,India,International,190.0,Accident , hull-loss
28-AUG-2020,Boeing 767,Omni Air International,Bucharest Ba...,Substantial,0,Landing (LDG),Afghanistan,Romania,International,64.0,Accident , repairable-damage
29-AUG-2020,Boeing 737,Skymark Airlines,near Tokyo-Haneda...,Substantial,0,Initial climb (ICL),Japan,Japan,Domestic,76.0,Accident , repairable-damage
02-DEC-2020,Boeing 737,Air Djibouti,Garowe Airpo...,Substantial,0,Landing (LDG),Somalia,Somalia,Domestic,44.0,Accident , repairable-damage
08-FEB-2019,Airbus A321,Novair,Billund Airp...,Substantial,0,Landing (LDG),Spain,Denmark,International,212.0,Accident , repairable-damage
24-FEB-2019,Boeing 737,Biman Bangladesh,Chittagong-S...,Minor,1,En route (ENR),Bangladesh,Bangladesh,Domestic,148.0,Hijacking , repairable-damage
01-MAR-2019,Airbus A320,LaudaMotion,London-Stans...,Substantial,0,Takeoff (TOF),United Kingdom,Austria,International,176.0,Incident , repairable-damage
03-MAR-2019,Airbus A320,Avianca Brasil,Rio de Janei...,Substantial,0,Landing (LDG),Brazil,Brazil,Domestic,168.0,Accident , repairable-damage
10-MAR-2019,Boeing 737,Ethiopian Airlines,near Addis Ababa-...,Destroyed,157,En route (ENR),Ethiopia,Kenya,International,157.0,Accident , hull-loss
23-MAR-2019,Airbus A320,Wizz Air,Bristol Airp...,Minor,0,Pushback / towing (PBT),United Kingdom,Poland,International,165.0,Accident , repairable-damage
03-APR-2019,Airbus A320,easyJet,Belfast Inte...,Minor,0,Pushback / towing (PBT),United Kingdom,Spain,International,186.0,Accident , repairable-damage
10-APR-2019,Airbus A321,American Airlines,New York-Joh...,Substantial,0,Takeoff (TOF),United States of America,United States of America,Domestic,109.0,Accident , hull-loss
03-MAY-2019,Boeing 737,Miami Air International,Jacksonville...,Substantial,0,Landing (LDG),Cuba,United States of America,International,143.0,Accident , hull-loss
05-MAY-2019,Sukhoi Superjet 100,Aeroflot,Moskva-Shere...,Destroyed,41,Landing (LDG),Russia,Russia,Domestic,78.0,Accident , hull-loss
09-JUN-2019,Boeing 737,United Airlines,Denver Inter...,Substantial,0,Landing (LDG),United States of America,United States of America,Domestic,184.0,Accident , repairable-damage
17-JUN-2019,Boeing 737,Southwest Airlines,Pittsburgh-G...,Substantial,0,Standing (STD),United States of America,United States of America,Domestic,180.0,Accident , repairable-damage
