Incident Aircraft ID,Aircraft_Code,Operator_ID,Departure_Country_ID,Destination_Country_ID,Flight Type ID,Occupants
1,733,1,1,1,1,116.0
2,733,2,2,2,1,62.0
3,320,3,3,3,1,127.0
4,321,4,4,4,1,134.0
5,733,5,1,79,2,176.0
6,733,6,4,4,1,121.0
7,733,7,5,5,1,100.0
8,CN1,8,6,6,1,11.0
9,733,9,4,4,1,95.0
10,320,10,7,7,1,99.0
11,733,11,8,17,2,190.0
12,763,12,9,36,2,64.0
13,733,13,10,10,1,76.0
14,733,14,11,11,1,44.0
15,733,15,5,5,1,76.0
16,733,16,12,51,2,91.0
17,321,17,13,80,2,212.0
18,733,18,14,14,1,148.0
19,320,19,15,81,2,176.0
20,733,20,16,82,2,157.0
21,320,21,15,83,2,165.0
22,321,6,4,4,1,109.0
23,SU9,15,5,5,1,78.0
24,733,22,4,4,1,184.0
25,733,23,4,4,1,180.0
26,733,24,17,17,1,167.0
27,733,25,18,18,1,139.0
28,CN1,26,19,19,1,9.0
29,321,27,4,4,1,232.0
30,321,28,5,5,1,233.0
31,773,29,20,37,2,261.0
32,733,22,4,4,1,171.0
33,733,30,21,21,1,168.0
34,319,31,13,15,2,130.0
35,733,32,22,37,2,127.0
36,763,33,22,49,2,270.0
37,733,29,20,10,2,99.0
38,733,23,4,4,1,149.0
39,733,34,2,2,1,181.0
40,CR2,35,4,4,1,60.0
41,733,36,23,41,2,188.0
42,733,23,4,4,1,179.0
43,321,4,4,4,1,197.0
44,733,37,24,42,2,165.0
45,763,38,19,31,2,265.0
46,320,39,24,84,2,166.0
47,733,7,5,5,1,172.0
48,733,40,14,14,1,173.0
49,733,41,25,25,1,47.0
50,SU9,42,5,5,1,92.0
51,733,11,17,8,2,136.0
52,733,34,2,2,1,189.0
53,773,43,19,85,2,393.0
54,733,44,1,1,1,185.0
55,733,45,26,26,1,69.0
56,CN1,46,4,4,1,8.0
57,733,2,2,2,1,152.0
58,320,43,19,4,2,140.0
59,CN1,47,4,4,1,9.0
60,733,34,2,2,1,151.0
61,733,48,4,4,1,166.0
62,733,11,8,17,2,108.0
63,733,22,4,4,1,140.0
64,321,6,4,86,2,143.0
65,321,6,4,4,1,191.0
66,733,6,4,4,1,110.0
67,733,23,4,4,1,84.0
68,733,49,27,27,1,181.0
69,763,50,19,15,2,264.0
70,773,51,19,54,2,262.0
71,319,52,28,60,2,110.0
72,CN1,53,27,27,1,11.0
73,321,54,11,87,2,81.0
74,733,6,4,4,1,155.0
75,733,55,17,17,1,128.0
76,733,56,8,5,2,62.0
77,320,57,12,12,1,64.0
78,733,58,2,2,1,56.0
79,320,59,23,88,2,64.0
80,320,57,23,12,2,66.0
81,773,29,10,20,2,319.0
82,773,60,29,49,2,241.0
83,773,61,17,8,2,300.0
84,733,23,4,4,1,135.0
85,733,48,4,4,1,166.0
86,733,23,4,4,1,104.0
87,763,6,4,4,1,170.0
88,733,62,4,89,2,187.0
89,733,63,9,9,1,173.0
90,320,64,30,30,1,118.0
91,733,55,17,17,1,161.0
92,320,43,19,19,1,138.0
93,733,65,31,90,2,176.0
94,733,65,31,15,2,94.0
95,733,55,17,17,1,67.0
96,320,66,20,10,2,82.0
97,733,67,32,25,2,76.0
98,321,68,15,15,1,207.0
99,321,6,4,4,1,159.0
100,773,68,4,15,2,170.0
101,773,69,4,75,2,279.0
102,733,70,33,33,1,100.0
103,321,71,12,5,2,224.0
104,733,72,7,7,1,121.0
105,733,73,34,34,1,153.0
106,733,23,4,4,1,138.0
107,733,23,4,4,1,180.0
108,763,74,1,64,2,315.0
109,320,75,17,17,1,179.0
110,733,34,2,2,1,222.0
111,320,76,5,91,2,192.0
112,733,77,15,43,2,182.0
113,733,78,35,43,2,170.0
114,733,79,19,19,1,97.0
115,773,45,26,24,2,239.0
116,320,80,4,4,1,154.0
117,733,81,17,9,2,132.0
118,763,12,36,9,2,81.0
119,733,65,37,15,2,167.0
120,320,82,38,37,2,155.0
121,773,45,39,26,2,298.0
122,733,65,31,15,2,94.0
123,733,65,31,92,2,108.0
124,733,24,17,17,1,157.0
125,733,83,40,40,1,115.0
126,733,23,4,4,1,145.0
127,320,84,2,29,2,162.0
128,320,85,41,88,2,83.0
129,733,10,7,93,2,108.0
130,321,80,4,4,1,192.0
131,733,34,2,2,1,108.0
132,321,66,24,20,2,139.0
133,733,86,30,30,1,155.0
134,773,10,7,15,2,322.0
135,319,68,15,40,2,80.0
136,320,82,37,38,2,178.0
137,320,87,42,42,1,171.0
138,320,21,36,49,2,171.0
139,319,87,42,42,1,101.0
140,773,66,20,4,2,307.0
141,733,23,4,4,1,150.0
142,733,88,27,27,1,174.0
143,321,89,21,23,2,227.0
144,320,90,13,49,2,157.0
145,733,91,5,5,1,50.0
146,763,48,13,4,2,203.0
147,320,92,10,10,1,166.0
148,320,93,42,42,1,142.0
149,319,31,43,15,2,148.0
150,733,83,40,40,1,170.0
151,773,94,24,10,2,308.0
152,733,95,7,7,1,127.0
153,733,72,7,7,1,178.0
154,733,2,2,2,1,163.0
155,763,92,24,10,2,193.0
156,733,96,44,44,1,121.0
157,733,6,4,19,2,165.0
158,320,97,26,26,1,129.0
159,733,98,33,33,1,3.0
160,733,23,4,4,1,122.0
161,763,48,4,39,2,214.0
162,773,57,12,64,2,317.0
163,733,62,45,89,2,163.0
164,733,99,19,19,1,15.0
165,320,100,46,17,2,143.0
166,733,101,37,21,2,162.0
167,320,48,4,4,1,150.0
168,733,48,4,4,1,70.0
169,733,2,2,2,1,137.0
170,319,22,4,4,1,53.0
171,733,20,47,16,2,90.0
172,733,102,48,48,1,52.0
173,733,103,2,2,1,110.0
174,733,11,8,17,2,166.0
175,733,104,39,41,2,162.0
176,321,105,35,37,2,151.0
177,733,106,35,21,2,185.0
178,733,48,4,4,1,5.0
179,321,107,7,7,1,152.0
180,319,108,49,49,1,129.0
181,733,34,2,2,1,175.0
182,320,80,4,4,1,155.0
183,320,109,17,17,1,169.0
184,733,110,19,94,2,182.0
185,763,104,41,4,2,220.0
186,320,111,4,4,1,154.0
187,733,23,4,4,1,131.0
188,733,92,10,10,1,153.0
189,CN1,112,4,4,1,6.0
190,321,66,20,10,2,147.0
191,733,103,2,2,1,108.0
192,733,6,4,94,2,154.0
193,319,111,4,4,1,73.0
194,773,68,24,15,2,152.0
195,733,103,2,2,1,147.0
196,319,80,4,4,1,51.0
197,733,113,2,2,1,177.0
198,320,114,50,70,2,124.0
199,733,115,18,18,1,47.0
200,321,116,13,15,2,228.0
201,733,117,2,2,1,121.0
202,733,118,34,1,2,90.0
203,733,119,51,51,1,102.0
204,733,2,2,2,1,130.0
205,733,120,5,5,1,88.0
206,733,121,13,5,2,144.0
207,320,22,4,4,1,163.0
208,733,65,37,49,2,172.0
209,733,122,4,4,1,115.0
210,733,113,2,2,1,102.0
211,733,123,51,51,1,103.0
212,733,124,52,52,1,79.0
213,733,113,2,2,1,155.0
