Incident ID,Location_ID,Damage Type ID,Phase ID,Incident Type ID,Incident Damage ID,Incident Aircraft ID,Date_ID,Fatalities
1,1,1,1,1,1,1,1,0
2,2,2,2,1,2,2,1,62
3,3,1,3,1,1,3,1,0
4,4,1,1,1,1,4,1,0
5,5,2,2,2,2,5,1,176
6,6,1,4,1,1,6,1,0
7,7,1,1,1,1,7,1,0
8,8,1,1,1,1,8,1,0
9,9,1,5,1,1,9,1,0
10,10,2,6,1,2,10,1,98
11,11,2,1,1,2,11,1,21
12,12,1,1,1,1,12,1,0
13,13,1,5,1,1,13,1,0
14,14,1,1,1,1,14,1,0
15,15,3,2,3,1,15,1,0
16,16,3,2,3,1,16,1,0
17,17,1,1,1,1,17,1,0
18,18,4,2,3,1,18,1,1
19,19,1,7,4,1,19,1,0
20,20,2,2,1,2,20,1,157
21,21,4,8,1,1,21,1,0
22,22,1,7,1,2,22,1,0
23,23,2,1,1,2,23,1,41
24,24,1,1,1,1,24,1,0
25,25,1,4,1,1,25,1,0
26,26,1,1,1,2,26,1,0
27,27,1,1,1,1,27,1,0
28,28,2,2,1,2,28,1,4
29,29,1,1,1,1,29,1,0
30,30,1,5,1,2,30,1,0
31,31,1,3,1,1,31,1,0
32,24,1,1,1,1,32,1,0
33,32,1,1,1,2,33,1,0
34,33,1,7,1,1,34,1,0
35,34,1,8,1,1,35,1,0
36,34,1,8,1,2,36,1,0
37,35,1,1,1,1,37,1,0
38,36,1,2,1,2,38,1,1
39,37,1,1,1,1,39,1,0
40,22,1,3,1,1,40,1,0
41,38,1,1,1,1,41,1,0
42,39,1,3,1,1,42,1,0
43,40,1,1,1,1,43,1,0
44,41,1,1,1,2,44,1,0
45,42,1,2,1,1,45,1,0
46,43,1,1,1,1,46,1,0
47,44,2,1,1,2,47,1,0
48,18,1,1,1,1,48,1,0
49,45,1,6,1,2,49,1,1
50,46,1,1,1,2,50,1,0
51,47,1,7,1,1,51,1,0
52,48,2,2,1,2,52,1,189
53,49,1,1,1,1,53,1,0
54,50,1,1,1,1,54,1,0
55,51,1,1,1,1,55,1,0
56,52,1,1,1,1,56,1,0
57,53,1,1,1,2,57,1,0
58,54,3,6,4,1,58,1,0
59,55,1,1,1,2,59,1,0
60,56,1,1,1,1,60,1,0
61,22,4,3,1,1,61,1,0
62,57,1,1,1,1,62,1,0
63,40,4,3,1,1,63,1,0
64,58,1,1,1,1,64,1,0
65,59,1,3,1,1,65,1,0
66,59,4,3,1,1,66,1,0
67,60,1,4,1,1,67,1,0
68,61,4,8,1,1,68,1,0
69,62,1,2,1,1,69,1,0
70,63,1,3,1,1,70,1,0
71,64,1,6,1,1,71,1,0
72,65,1,1,1,2,72,1,0
73,66,1,2,2,2,73,1,1
74,67,1,3,1,1,74,1,0
75,26,1,1,1,1,75,1,0
76,68,2,6,1,2,76,1,62
